Pair,StimulusA,StimulusB,Similarity
128,"7410,7710,7600,62433,5281515,6982,307,7632,22201,31252,19310,7749,3314,6184,7888,61016,16666,7119,91497,18827,7991,6054,6654,7770,8118,8030,6989,7714,5634,10430","61199,10890,93009,264,6259976,24915,7762,460,8129,5281168,443158,8918,957,999,17100",60.7954545455
129,"7410,7710,7600,62433,5281515,6982,307,7632,22201,31252,19310,7749,3314,6184,7888,61016,16666,7119,91497,18827,7991,6054,6654,7770,8118,8030,6989,7714,5634,10430",7685,21.0227272727
130,"7410,7710,7600,62433,5281515,6982,307,7632,22201,31252,19310,7749,3314,6184,7888,61016,16666,7119,91497,18827,7991,6054,6654,7770,8118,8030,6989,7714,5634,10430","61199,6501,264,2879,7731,326,24915,7762,460,8129,8892,12178,5281168,443158,4133,999,10821,17100,11552,1183",43.75
131,"7410,7710,7600,62433,5281515,6982,307,7632,22201,31252,19310,7749,3314,6184,7888,61016,16666,7119,91497,18827,7991,6054,6654,7770,8118,8030,6989,7714,5634,10430","61199,6501,31276,10890,7519,240,93009,11002,6259976,2879,7685,7731,326,5283349,7583,460,8129,8892,12178,443158,4133,8918,957,61138,999,10821,6544,17100,11552,1183",51.1363636364
132,"7410,7710,7600,62433,5281515,6982,307,7632,22201,31252,19310,7749,3314,6184,7888,61016,16666,7119,91497,18827,7991,6054,6654,7770,8118,8030,6989,7714,5634,10430","61199,6501,31276,10890,7519,240,93009,264,11002,6259976,2879,8797,7685,7731,326,7966,5283349,9609,24915,7583,7762,26331,460,8129,8892,12178,5281168,443158,20859,4133,62444,8918,957,61138,999,10821,6544,6736,17100,31277,10722,11552,1183",46.5909090909
133,"7410,7710,7600,62433,5281515,6982,307,7632,22201,31252,19310,7749,3314,6184,7888,61016,16666,7119,91497,18827,7991,6054,6654,7770,8118,8030,6989,7714,5634,10430","6501,460,999,6544",38.0681818182
134,"7410,14286,7710,7600,62433,5281515,6982,307,323,8148,7632,22201,31252,19310,7749,2758,3314,7363,8130,6184,8103,62336,7888,798,61016,16666,7119,8635,7059,91497,18827,7991,6054,6654,7770,8118,8030,6989,1140,7714,5634,10430,7921","6501,8797,326,26331,8129,12178,999,6544,6736,11552",32.3863636364
135,"7410,14286,7710,7600,62433,5281515,6982,307,323,8148,7632,22201,31252,19310,7749,2758,3314,7363,8130,6184,8103,62336,7888,798,61016,16666,7119,8635,7059,91497,18827,7991,6054,6654,7770,8118,8030,6989,1140,7714,5634,10430,7921","61199,10890,93009,264,6259976,24915,7762,460,8129,5281168,443158,8918,957,999,17100",58.5227272727
136,"7410,14286,7710,7600,62433,5281515,6982,307,323,8148,7632,22201,31252,19310,7749,2758,3314,7363,8130,6184,8103,62336,7888,798,61016,16666,7119,8635,7059,91497,18827,7991,6054,6654,7770,8118,8030,6989,1140,7714,5634,10430,7921",7685,24.4318181818
137,"7410,14286,7710,7600,62433,5281515,6982,307,323,8148,7632,22201,31252,19310,7749,2758,3314,7363,8130,6184,8103,62336,7888,798,61016,16666,7119,8635,7059,91497,18827,7991,6054,6654,7770,8118,8030,6989,1140,7714,5634,10430,7921","61199,6501,264,2879,7731,326,24915,7762,460,8129,8892,12178,5281168,443158,4133,999,10821,17100,11552,1183",55.6818181818
138,"7410,14286,7710,7600,62433,5281515,6982,307,323,8148,7632,22201,31252,19310,7749,2758,3314,7363,8130,6184,8103,62336,7888,798,61016,16666,7119,8635,7059,91497,18827,7991,6054,6654,7770,8118,8030,6989,1140,7714,5634,10430,7921","61199,6501,31276,10890,7519,240,93009,11002,6259976,2879,7685,7731,326,5283349,7583,460,8129,8892,12178,443158,4133,8918,957,61138,999,10821,6544,17100,11552,1183",65.3409090909
139,"7410,14286,7710,7600,62433,5281515,6982,307,323,8148,7632,22201,31252,19310,7749,2758,3314,7363,8130,6184,8103,62336,7888,798,61016,16666,7119,8635,7059,91497,18827,7991,6054,6654,7770,8118,8030,6989,1140,7714,5634,10430,7921","61199,6501,31276,10890,7519,240,93009,264,11002,6259976,2879,8797,7685,7731,326,7966,5283349,9609,24915,7583,7762,26331,460,8129,8892,12178,5281168,443158,20859,4133,62444,8918,957,61138,999,10821,6544,6736,17100,31277,10722,11552,1183",47.7272727273
140,"7410,14286,7710,7600,62433,5281515,6982,307,323,8148,7632,22201,31252,19310,7749,2758,3314,7363,8130,6184,8103,62336,7888,798,61016,16666,7119,8635,7059,91497,18827,7991,6054,6654,7770,8118,8030,6989,1140,7714,5634,10430,7921","6501,460,999,6544",47.1590909091
141,"7600,62433,7991,6989","6501,8797,326,26331,8129,12178,999,6544,6736,11552",64.7727272727
142,"7600,62433,7991,6989","61199,10890,93009,264,6259976,24915,7762,460,8129,5281168,443158,8918,957,999,17100",54.5454545455
143,"7600,62433,7991,6989",7685,32.3863636364
144,"7600,62433,7991,6989","61199,6501,264,2879,7731,326,24915,7762,460,8129,8892,12178,5281168,443158,4133,999,10821,17100,11552,1183",38.0681818182
145,"7600,62433,7991,6989","61199,6501,31276,10890,7519,240,93009,11002,6259976,2879,7685,7731,326,5283349,7583,460,8129,8892,12178,443158,4133,8918,957,61138,999,10821,6544,17100,11552,1183",35.2272727273
146,"7600,62433,7991,6989","61199,6501,31276,10890,7519,240,93009,264,11002,6259976,2879,8797,7685,7731,326,7966,5283349,9609,24915,7583,7762,26331,460,8129,8892,12178,5281168,443158,20859,4133,62444,8918,957,61138,999,10821,6544,6736,17100,31277,10722,11552,1183",40.9090909091
147,"7600,62433,7991,6989","6501,460,999,6544",39.7727272727
148,5283349,5283349,95.3125
149,"7731,7749,7888,1183","7731,7749,7888,1183",96.875
150,"6501,264,2879,7685,7731,326,7888,61138,8030,1183","6501,264,2879,7685,7731,326,7888,61138,8030,1183",91.6666666667
151,"7410,6501,264,5281515,6259976,307,7685,326,5283349,7749,7363,7888,7119,8635,8918,6736,8030,5634,7921,1183","7410,6501,264,5281515,6259976,307,7685,326,5283349,7749,7363,7888,7119,8635,8918,6736,8030,5634,7921,1183",91.6666666667
152,"7410,6501,7600,7519,264,5281515,6259976,307,2879,7685,7731,326,5283349,7583,7749,7363,8129,7888,61016,8635,8918,957,7991,61138,6654,8118,6736,10722,1140,1183","7410,6501,7600,7519,264,5281515,6259976,307,2879,7685,7731,326,5283349,7583,7749,7363,8129,7888,61016,8635,8918,957,7991,61138,6654,8118,6736,10722,1140,1183",88.5416666667
153,"7991,61138,6654,8118,6736,8030,6989,10722,1140,5634,7921,1183","7991,61138,6654,8118,6736,8030,6989,10722,1140,5634,7921,1183",85.4166666667
154,"240,93009,323,8148,7762,3314,460,6184,798,6054","240,93009,323,8148,7762,3314,460,6184,798,6054",95.8333333333
155,7710,7710,95.8333333333
156,"31276,93009,11002,323,7966,8148,7632,22201,19310,7762,2758,3314,460,443158,20859,7059,999,6544,7770,10430","31276,93009,11002,323,7966,8148,7632,22201,19310,7762,2758,3314,460,443158,20859,7059,999,6544,7770,10430",91.6666666667
157,"10890,93009,11002,6982,323,8797,7966,8148,7632,31252,19310,7762,3314,460,6184,8892,8103,12178,5281168,798,443158,20859,7059,91497,999,10821,6544,7770,7714,10430","10890,93009,11002,6982,323,8797,7966,8148,7632,31252,19310,7762,3314,460,6184,8892,8103,12178,5281168,798,443158,20859,7059,91497,999,10821,6544,7770,7714,10430",87.5
158,"7710,31276,10890,240,93009,11002,6982,323,8797,7966,8148,24915,7632,22201,31252,19310,7762,26331,2758,3314,460,8130,6184,8892,8103,12178,5281168,798,443158,20859,7059,62444,91497,999,10821,6054,6544,7770,7714,10430","7710,31276,10890,240,93009,11002,6982,323,8797,7966,8148,24915,7632,22201,31252,19310,7762,26331,2758,3314,460,8130,6184,8892,8103,12178,5281168,798,443158,20859,7059,62444,91497,999,10821,6054,6544,7770,7714,10430",95.8333333333
159,"93009,460,443158,6544","93009,460,443158,6544",100.0
160,"323,7762,7363,7888,16666,8635,7059,7991,6736,8030","323,7762,7363,7888,16666,8635,7059,7991,6736,8030",97.1153846154
161,7059,7059,93.2692307692
162,"10890,7519,323,7583,7762,26331,8892,7888,443158,16666,8635,91497,8918,957,18827,8118,8030,6989,5634,10430","10890,7519,323,7583,7762,26331,8892,7888,443158,16666,8635,91497,8918,957,18827,8118,8030,6989,5634,10430",81.7307692308
163,"14286,31276,7600,7519,11002,6982,307,323,5283349,7762,26331,3314,7363,8892,8103,7888,443158,16666,8635,7059,91497,957,18827,7770,6736,8030,6989,10722,5634,10430","14286,31276,7600,7519,11002,6982,307,323,5283349,7762,26331,3314,7363,8892,8103,7888,443158,16666,8635,7059,91497,957,18827,7770,6736,8030,6989,10722,5634,10430",87.5
164,"14286,7710,31276,10890,7600,7519,11002,6982,307,323,2879,7731,5283349,7583,7762,26331,3314,7363,8892,8103,7888,443158,16666,8635,7059,62444,91497,8918,957,18827,7991,7770,8118,6736,8030,6989,10722,5634,10430,7921","14286,7710,31276,10890,7600,7519,11002,6982,307,323,2879,7731,5283349,7583,7762,26331,3314,7363,8892,8103,7888,443158,16666,8635,7059,62444,91497,8918,957,18827,7991,7770,8118,6736,8030,6989,10722,5634,10430,7921",87.5
165,"7731,8892,7888,7059","7731,8892,7888,7059",81.7307692308
166,"22201,7749,460,61016,7119,61138,999,10821,6054,6544","22201,7749,460,61016,7119,61138,999,10821,6054,6544",91.3461538462
167,62336,62336,91.3461538462
168,"6501,264,6259976,8797,7685,7632,22201,2758,460,8129,5281168,62336,798,61016,20859,61138,10821,6054,1140,1183","6501,264,6259976,8797,7685,7632,22201,2758,460,8129,5281168,62336,798,61016,20859,61138,10821,6054,1140,1183",92.3076923077
169,"6501,62433,264,5281515,7685,326,7966,8148,24915,7632,22201,31252,19310,2758,8130,8129,6184,12178,798,61016,7119,20859,999,10821,6054,6544,6654,1140,7714,1183","6501,62433,264,5281515,7685,326,7966,8148,24915,7632,22201,31252,19310,2758,8130,8129,6184,12178,798,61016,7119,20859,999,10821,6054,6544,6654,1140,7714,1183",91.3461538462
170,"7410,6501,62433,240,93009,264,5281515,6259976,8797,7685,326,7966,8148,24915,7632,22201,31252,19310,7749,2758,460,8130,8129,6184,12178,5281168,62336,798,61016,7119,20859,61138,999,10821,6054,6544,6654,1140,7714,1183","7410,6501,62433,240,93009,264,5281515,6259976,8797,7685,326,7966,8148,24915,7632,22201,31252,19310,7749,2758,460,8130,8129,6184,12178,5281168,62336,798,61016,7119,20859,61138,999,10821,6054,6544,6654,1140,7714,1183",88.4615384615
171,"7749,61138,6054,6544","7749,61138,6054,6544",94.2307692308
172,31276,31276,100.0
173,"62433,7363,443158,61138","62433,7363,443158,61138",100.0
174,"7600,62433,307,5283349,443158,8635,8918,999,6736,10722","7600,62433,307,5283349,443158,8635,8918,999,6736,10722",90.3846153846
175,"14286,7710,31276,7600,5281515,6982,5283349,7632,7762,3314,6184,443158,91497,8918,957,61138,999,6544,6989,7921","14286,7710,31276,7600,5281515,6982,5283349,7632,7762,3314,6184,443158,91497,8918,957,61138,999,6544,6989,7921",94.2307692308
176,"14286,7710,31276,7600,62433,240,264,5281515,6982,307,5283349,7632,22201,19310,7749,2758,3314,6184,8892,443158,7059,91497,8918,957,61138,6544,6736,6989,10722,7921","14286,7710,31276,7600,62433,240,264,5281515,6982,307,5283349,7632,22201,19310,7749,2758,3314,6184,8892,443158,7059,91497,8918,957,61138,6544,6736,6989,10722,7921",95.1923076923
177,"14286,6501,7710,31276,7600,62433,240,264,5281515,6982,307,5283349,8148,7632,22201,19310,7762,7749,2758,3314,7363,8130,6184,8892,12178,62336,443158,8635,7059,62444,91497,8918,957,61138,999,6544,6736,6989,10722,7921","14286,6501,7710,31276,7600,62433,240,264,5281515,6982,307,5283349,8148,7632,22201,19310,7762,7749,2758,3314,7363,8130,6184,8892,12178,62336,443158,8635,7059,62444,91497,8918,957,61138,999,6544,6736,6989,10722,7921",82.6923076923
178,7714,7714,87.5
179,"5281168,10890,2879,7966","5281168,10890,2879,7966",75.0
180,"7410,10890,7519,7685,24915,26331,8129,16666,7770,10430","7410,10890,7519,7685,24915,26331,8129,16666,7770,10430",76.9230769231
181,"7410,10890,7519,7685,24915,26331,8129,16666,7770,10430","7410,10890,7519,7685,24915,26331,8129,16666,7770,10430",90.3846153846
182,"7410,10890,93009,11002,8797,7685,7731,7966,24915,7583,26331,5281168,7888,798,61016,16666,7119,20859,18827,7991,6054,6654,7770,8118,8030,1140,7714,5634,10430,1183","7410,10890,93009,11002,8797,7685,7731,7966,24915,7583,26331,5281168,7888,798,61016,16666,7119,20859,18827,7991,6054,6654,7770,8118,8030,1140,7714,5634,10430,1183",89.4230769231
183,"7410,10890,7519,93009,11002,6259976,323,2879,8797,7685,7731,326,7966,24915,31252,7583,26331,460,8129,8103,5281168,7888,798,61016,16666,7119,20859,18827,7991,10821,6054,6654,7770,8118,8030,1140,7714,5634,10430,1183","7410,10890,7519,93009,11002,6259976,323,2879,8797,7685,7731,326,7966,24915,31252,7583,26331,460,8129,8103,5281168,7888,798,61016,16666,7119,20859,18827,7991,10821,6054,6654,7770,8118,8030,1140,7714,5634,10430,1183",90.3846153846
184,"61199,10890,93009,264,6259976,24915,7762,460,8129,5281168,443158,8918,957,999,17100","61199,10890,93009,264,6259976,24915,7762,460,8129,5281168,443158,8918,957,999,17100",89.7727272727
185,"61199,6501,264,2879,7731,326,24915,7762,460,8129,8892,12178,5281168,443158,4133,999,10821,17100,11552,1183","61199,6501,264,2879,7731,326,24915,7762,460,8129,8892,12178,5281168,443158,4133,999,10821,17100,11552,1183",71.5909090909
186,"61199,6501,31276,10890,7519,240,93009,11002,6259976,2879,7685,7731,326,5283349,7583,460,8129,8892,12178,443158,4133,8918,957,61138,999,10821,6544,17100,11552,1183","61199,6501,31276,10890,7519,240,93009,11002,6259976,2879,7685,7731,326,5283349,7583,460,8129,8892,12178,443158,4133,8918,957,61138,999,10821,6544,17100,11552,1183",81.8181818182
187,"61199,6501,31276,10890,7519,240,93009,264,11002,6259976,2879,8797,7685,7731,326,7966,5283349,9609,24915,7583,7762,26331,460,8129,8892,12178,5281168,443158,20859,4133,62444,8918,957,61138,999,10821,6544,6736,17100,31277,10722,11552,1183","61199,6501,31276,10890,7519,240,93009,264,11002,6259976,2879,8797,7685,7731,326,7966,5283349,9609,24915,7583,7762,26331,460,8129,8892,12178,5281168,443158,20859,4133,62444,8918,957,61138,999,10821,6544,6736,17100,31277,10722,11552,1183",86.3636363636
188,"7410,7710,7600,62433,307,7749,3314,61016,16666,91497,6054,6654,8030,5634,10430","7410,7710,7600,62433,307,7749,3314,61016,16666,91497,6054,6654,8030,5634,10430",86.3636363636
189,"7410,14286,7710,7600,62433,5281515,6982,22201,7749,3314,8130,8103,7888,16666,91497,6654,7770,5634,10430,7921","7410,14286,7710,7600,62433,5281515,6982,22201,7749,3314,8130,8103,7888,16666,91497,6654,7770,5634,10430,7921",76.1363636364
190,"7410,7710,7600,62433,5281515,6982,307,7632,22201,31252,19310,7749,3314,6184,7888,61016,16666,7119,91497,18827,7991,6054,6654,7770,8118,8030,6989,7714,5634,10430","7410,7710,7600,62433,5281515,6982,307,7632,22201,31252,19310,7749,3314,6184,7888,61016,16666,7119,91497,18827,7991,6054,6654,7770,8118,8030,6989,7714,5634,10430",70.4545454545
191,"7410,14286,7710,7600,62433,5281515,6982,307,323,8148,7632,22201,31252,19310,7749,2758,3314,7363,8130,6184,8103,62336,7888,798,61016,16666,7119,8635,7059,91497,18827,7991,6054,6654,7770,8118,8030,6989,1140,7714,5634,10430,7921","7410,14286,7710,7600,62433,5281515,6982,307,323,8148,7632,22201,31252,19310,7749,2758,3314,7363,8130,6184,8103,62336,7888,798,61016,16666,7119,8635,7059,91497,18827,7991,6054,6654,7770,8118,8030,6989,1140,7714,5634,10430,7921",79.5454545455
201,"326,26331,6544,1140","7710,62433,7519,7685,3314",42.8920768277
202,"326,26331,6544,1140","31276,62433,7519,8129,12178,18827,10722",38.2925188853
203,"326,26331,6544,1140","62433,8797,2758,3314,8635,61138,6054,6544,10722",58.2205435883
204,"7410,240,93009,8635","7519,8148,31252,8103,5281168,6544",29.7321081182
205,"7410,240,93009,8635","240,307,7731,2758,12178,62336,8635",62.231981175
206,"7410,240,93009,8635","31276,62433,7519,8129,12178,18827,10722",59.6834225837
207,"7710,62433,7519,7685,3314","7410,240,93009,8635",56.8320625991
208,"7710,62433,7519,7685,3314","7519,8148,31252,8103,5281168,6544",31.1102534239
209,"31276,8148,7762,18827,7714","7710,62433,7519,7685,3314",45.1906525188
210,"31276,8148,7762,18827,7714","7710,93009,8130,8103,5281168,7059,8918,7714",55.8460436439
211,"7519,8148,31252,8103,5281168,6544","240,307,7731,2758,12178,62336,8635",27.1032905381
212,"7519,8148,31252,8103,5281168,6544","11002,307,7685,12178,4133,7991,6054,7770,7714",28.4666081119
213,"7519,8148,31252,8103,5281168,6544","240,2758,8130,8129,5281168,7059,4133,8918,957,6654",37.8212120261
214,"7410,326,2758,62444,7770,1140","7410,240,93009,8635",29.2264463261
215,"7410,326,2758,62444,7770,1140","7710,62433,7519,7685,3314",32.8488419076
216,"7410,326,2758,62444,7770,1140","7519,8148,31252,8103,5281168,6544",35.9348363339
217,"7410,326,2758,62444,7770,1140","11002,307,7685,12178,4133,7991,6054,7770,7714",37.0957060269
218,"240,307,7731,2758,12178,62336,8635","326,26331,6544,1140",35.8676065026
219,"240,307,7731,2758,12178,62336,8635","31276,8148,7762,18827,7714",38.8315476659
220,"31276,62433,7519,8129,12178,18827,10722","7410,326,2758,62444,7770,1140",29.3431840677
221,"31276,62433,7519,8129,12178,18827,10722","7410,7519,11002,8797,8129,5281168,6654,8030",41.8740722418
222,"31276,62433,7519,8129,12178,18827,10722","62433,8797,2758,3314,8635,61138,6054,6544,10722",55.1835934311
223,"31276,62433,7519,8129,12178,18827,10722","11002,307,7685,12178,4133,7991,6054,7770,7714",44.6881379562
224,"7710,93009,8130,8103,5281168,7059,8918,7714","7410,240,93009,8635",61.8433647714
225,"7710,93009,8130,8103,5281168,7059,8918,7714","7410,326,2758,62444,7770,1140",30.0817078966
226,"7710,93009,8130,8103,5281168,7059,8918,7714","31276,62433,7519,8129,12178,18827,10722",49.1864076834
227,"7710,93009,8130,8103,5281168,7059,8918,7714","8797,7731,7966,3314,62336,7059,7991,61138,6054,6544",54.434006142
228,"7410,7519,11002,8797,8129,5281168,6654,8030","326,26331,6544,1140",45.0479865702
229,"7410,7519,11002,8797,8129,5281168,6654,8030","7710,62433,7519,7685,3314",43.3056175159
230,"7410,7519,11002,8797,8129,5281168,6654,8030","7519,8148,31252,8103,5281168,6544",40.0733972789
231,"62433,8797,2758,3314,8635,61138,6054,6544,10722","7410,240,93009,8635",71.0763747141
232,"62433,8797,2758,3314,8635,61138,6054,6544,10722","31276,8148,7762,18827,7714",51.6250918479
233,"62433,8797,2758,3314,8635,61138,6054,6544,10722","7410,7519,11002,8797,8129,5281168,6654,8030",37.7755842727
234,"62433,8797,2758,3314,8635,61138,6054,6544,10722","240,2758,8130,8129,5281168,7059,4133,8918,957,6654",42.65543746
235,"11002,307,7685,12178,4133,7991,6054,7770,7714","7710,93009,8130,8103,5281168,7059,8918,7714",51.6787465177
236,"11002,307,7685,12178,4133,7991,6054,7770,7714","62433,8797,2758,3314,8635,61138,6054,6544,10722",60.041397948
237,"8797,7731,7966,3314,62336,7059,7991,61138,6054,6544","326,26331,6544,1140",34.334684991
238,"8797,7731,7966,3314,62336,7059,7991,61138,6054,6544","7519,8148,31252,8103,5281168,6544",33.6834812847
239,"8797,7731,7966,3314,62336,7059,7991,61138,6054,6544","240,307,7731,2758,12178,62336,8635",66.8014539949
240,"8797,7731,7966,3314,62336,7059,7991,61138,6054,6544","7410,7519,11002,8797,8129,5281168,6654,8030",40.4904882931
241,"8797,7731,7966,3314,62336,7059,7991,61138,6054,6544","11002,307,7685,12178,4133,7991,6054,7770,7714",65.2906207311
242,"240,2758,8130,8129,5281168,7059,4133,8918,957,6654","326,26331,6544,1140",62.0149033493
243,"240,2758,8130,8129,5281168,7059,4133,8918,957,6654","7710,62433,7519,7685,3314",52.1849505052
244,"240,2758,8130,8129,5281168,7059,4133,8918,957,6654","31276,8148,7762,18827,7714",48.0076235013
245,"240,2758,8130,8129,5281168,7059,4133,8918,957,6654","7410,326,2758,62444,7770,1140",34.7939733695
246,"240,2758,8130,8129,5281168,7059,4133,8918,957,6654","7410,7519,11002,8797,8129,5281168,6654,8030",50.4446400068
247,"326,26331,6544,1140","7410,240,93009,8635",63.4176348598
248,"326,26331,6544,1140","31276,8148,7762,18827,7714",35.9579997488
249,"326,26331,6544,1140","7519,8148,31252,8103,5281168,6544",44.5168647674
250,"326,26331,6544,1140","7410,326,2758,62444,7770,1140",53.8750343555
251,"326,26331,6544,1140","7710,93009,8130,8103,5281168,7059,8918,7714",46.8743338229
252,"326,26331,6544,1140","11002,307,7685,12178,4133,7991,6054,7770,7714",37.0116310677
253,"7410,240,93009,8635","31276,8148,7762,18827,7714",47.6427082577
254,"7410,240,93009,8635","7410,7519,11002,8797,8129,5281168,6654,8030",37.6277234001
255,"7410,240,93009,8635","11002,307,7685,12178,4133,7991,6054,7770,7714",47.5206029328
256,"7410,240,93009,8635","8797,7731,7966,3314,62336,7059,7991,61138,6054,6544",56.5273711569
257,"7410,240,93009,8635","240,2758,8130,8129,5281168,7059,4133,8918,957,6654",55.5547834727
258,"7710,62433,7519,7685,3314","240,307,7731,2758,12178,62336,8635",56.5124839064
259,"7710,62433,7519,7685,3314","31276,62433,7519,8129,12178,18827,10722",47.8892521298
260,"7710,62433,7519,7685,3314","7710,93009,8130,8103,5281168,7059,8918,7714",56.4702011828
261,"7710,62433,7519,7685,3314","62433,8797,2758,3314,8635,61138,6054,6544,10722",61.0520828953
262,"7710,62433,7519,7685,3314","11002,307,7685,12178,4133,7991,6054,7770,7714",59.0501557976
263,"7710,62433,7519,7685,3314","8797,7731,7966,3314,62336,7059,7991,61138,6054,6544",64.6282394837
264,"31276,8148,7762,18827,7714","7519,8148,31252,8103,5281168,6544",30.0333647715
265,"31276,8148,7762,18827,7714","7410,326,2758,62444,7770,1140",24.9943769886
266,"31276,8148,7762,18827,7714","31276,62433,7519,8129,12178,18827,10722",50.605626467
267,"31276,8148,7762,18827,7714","7410,7519,11002,8797,8129,5281168,6654,8030",23.3561339388
268,"31276,8148,7762,18827,7714","11002,307,7685,12178,4133,7991,6054,7770,7714",46.2247464518
269,"31276,8148,7762,18827,7714","8797,7731,7966,3314,62336,7059,7991,61138,6054,6544",38.2099169932
270,"7519,8148,31252,8103,5281168,6544","31276,62433,7519,8129,12178,18827,10722",35.1094674536
271,"7519,8148,31252,8103,5281168,6544","7710,93009,8130,8103,5281168,7059,8918,7714",27.793943301
272,"7519,8148,31252,8103,5281168,6544","62433,8797,2758,3314,8635,61138,6054,6544,10722",28.1503345953
273,"7410,326,2758,62444,7770,1140","240,307,7731,2758,12178,62336,8635",33.8501517588
274,"7410,326,2758,62444,7770,1140","7410,7519,11002,8797,8129,5281168,6654,8030",36.6066038191
275,"7410,326,2758,62444,7770,1140","62433,8797,2758,3314,8635,61138,6054,6544,10722",27.5310341851
276,"7410,326,2758,62444,7770,1140","8797,7731,7966,3314,62336,7059,7991,61138,6054,6544",39.1216385083
277,"240,307,7731,2758,12178,62336,8635","31276,62433,7519,8129,12178,18827,10722",53.5510491156
278,"240,307,7731,2758,12178,62336,8635","7710,93009,8130,8103,5281168,7059,8918,7714",58.2561770446
279,"240,307,7731,2758,12178,62336,8635","7410,7519,11002,8797,8129,5281168,6654,8030",43.9005771667
280,"240,307,7731,2758,12178,62336,8635","62433,8797,2758,3314,8635,61138,6054,6544,10722",61.4611468128
281,"240,307,7731,2758,12178,62336,8635","11002,307,7685,12178,4133,7991,6054,7770,7714",50.0969153042
282,"240,307,7731,2758,12178,62336,8635","240,2758,8130,8129,5281168,7059,4133,8918,957,6654",65.5970916721
283,"31276,62433,7519,8129,12178,18827,10722","8797,7731,7966,3314,62336,7059,7991,61138,6054,6544",48.393467523
284,"31276,62433,7519,8129,12178,18827,10722","240,2758,8130,8129,5281168,7059,4133,8918,957,6654",50.3668346769
285,"7710,93009,8130,8103,5281168,7059,8918,7714","7410,7519,11002,8797,8129,5281168,6654,8030",41.7041072969
286,"7710,93009,8130,8103,5281168,7059,8918,7714","62433,8797,2758,3314,8635,61138,6054,6544,10722",58.5990436446
287,"7710,93009,8130,8103,5281168,7059,8918,7714","240,2758,8130,8129,5281168,7059,4133,8918,957,6654",69.0992488397
288,"7410,7519,11002,8797,8129,5281168,6654,8030","11002,307,7685,12178,4133,7991,6054,7770,7714",39.051042677
289,"62433,8797,2758,3314,8635,61138,6054,6544,10722","8797,7731,7966,3314,62336,7059,7991,61138,6054,6544",63.0563164143
290,"11002,307,7685,12178,4133,7991,6054,7770,7714","240,2758,8130,8129,5281168,7059,4133,8918,957,6654",45.9789168529
291,"8797,7731,7966,3314,62336,7059,7991,61138,6054,6544","240,2758,8130,8129,5281168,7059,4133,8918,957,6654",62.5123193783
292,"326,26331,6544,1140","326,26331,6544,1140",70.2901207791
293,"7410,240,93009,8635","7410,240,93009,8635",58.2890207475
294,"240,2758,8130,8129,5281168,7059,4133,8918,957,6654","240,2758,8130,8129,5281168,7059,4133,8918,957,6654",69.6266983069
295,"8797,7731,7966,3314,62336,7059,7991,61138,6054,6544","8797,7731,7966,3314,62336,7059,7991,61138,6054,6544",68.4690574039
301,7410,19310,14.6836842105
302,7710,7749,30.4985
303,31276,3314,42.0935
304,7519,8129,48.2145
305,240,8103,59.6205
306,93009,12178,48.0875
307,11002,62336,34.136
308,7685,8635,51.213
309,7731,62444,11.8755
310,326,8918,53.1495
311,8148,7991,49.2995
312,9609,61138,52.0752631579
313,22201,1140,15.3265
314,31252,10430,27.067
315,31276,26331,21.4161181775
316,6054,31276,47.2128292008
317,240,326,40.274739359
318,93009,240,52.9339534823
319,7685,7762,33.6845511624
320,8148,93009,13.9985159777
321,7762,8129,39.8168634983
322,7749,7519,63.3664229027
323,26331,8148,41.4196129139
324,3314,11002,20.7514735389
325,62336,22201,15.9907826016
326,7059,7685,59.2873712665
327,4133,31252,32.2346601009
328,8030,62336,30.1873834883
329,7519,8030,34.9673839804
330,326,7059,50.4071198269
331,22201,7714,15.6632745813
332,31252,6054,37.5950057271
333,8129,4133,48.3947495328
334,6654,7714,31.1489998864
335,7410,3314,40.218635755
336,7410,12178,53.7903638806
337,7710,307,49.0692920675
338,7710,8130,31.8349010241
339,61138,7410,18.3113202284
340,10821,7710,41.5299748449
341,6544,31276,37.1413111883
342,8797,8130,49.9228372081
343,7731,8797,51.5322298853
344,8103,8148,22.6170029804
345,12178,62433,43.1011214638
346,5281168,2758,36.8672525169
347,5281168,8103,56.9387376195
348,62444,240,9.8495700282
349,957,8148,22.6042669165
350,957,8129,86.6011726073
351,18827,93009,30.1616686586
352,7991,2758,16.6954798309
353,10821,7731,51.3415861985
354,6544,5281168,53.6374800249
355,7770,307,42.8196854198
356,8118,240,29.1133737842
357,8118,11002,74.7306409532
358,62433,957,57.6383061725
359,62433,8030,21.7308202652
360,10722,7731,55.9731866722
361,1140,26331,29.1266581311
362,307,7991,9.3496150027
363,8797,10821,48.8879859743
364,2758,10722,57.8195838198
365,8129,6054,46.3080427806
366,8129,7770,40.35004591
367,8103,8918,49.638579144
368,12178,7714,36.3096194455
369,62444,1140,14.8323293991
370,8918,7059,50.351401804
371,8918,61138,27.6837704748
372,7991,10722,19.1925053919
373,61138,6054,26.0335811646
374,7770,6544,44.4479882844
